name,country_name,region_name,star_label,year,address,phone,hours,cuisine,price_text,price_level,lat,lng,description,facilities,image_url,detail_url
밍글스,한국,서울,3스타,2026,"강남구 도산대로 67길 19, 2층, Seoul, 06016, KOR",+82 2-515-7306,,한식,,,37.52535,127.04426,"따뜻한 톤의 공간에 현대적 감각의 작품과 섬세한 식기가 어우러져 우아한 여백의 미를 보여주는 밍글스는, 창가로 스며드는 초록빛 풍경까지 더해져 편안하면서도 격조 있는 분위기를 자아낸다. 강민구 셰프는 한국의 음식문화와 철학을 메뉴 전반에 자연스럽게 녹여내며, 제철 재료를 정교하게 다뤄 화려함보다 층위 있는 맛의 흐름을 강조한다. 직접 개발한 한국적 재료도 요리 곳곳에서 중요한 역할을 한다. 건해산물과 채소·과일로 풍미를 농축한 ‘밍글링 팟’은 장시간 숙성된 향과 감칠맛이 인상 깊고, 세 가지 발효장—된장·간장·고추장—을 활용해 프렌치 디저트 기법으로 재해석한 ‘장 트리오’는 서양적 구조 안에 한국의 정수를 품어 독창적이다. 전복 배추선과 어만두 등 전통과 현대의 경계를 유연하게 넘나드는 요리가 밍글스 특유의 정체성을 선명하게 드러낸다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b1998f42d3b642d2bf04ac9156783877.jpg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mingles
송헌집,한국,서울,3스타,2026,"수영구 민락로 19번길 18, Busan, 48285, KOR",+82 51-711-4648,,한식,,,35.15654,129.12146,전통주와 함께 즐기는 한식 요리부터 국수 요리까지 한식의 다양한 스펙트럼을 부산에서 선보여 온 송헌집. 셰프가 새로 문을 연 떡갈비 한상차림 식당이다. 그윽한 숯향과 풍부한 육즙의 두툼한 떡갈비는 따뜻한 밥 한 숟가락과 멋지게 어울린다. 떡갈비 백반답게 상을 가득 채운 맛깔스런 반찬과 바특한 된장찌개 역시 떡갈비 못지않은 맛을 자랑한다. 작은 마당이 딸린 이층 주택을 개조한 식당은 1990년대 가정집의 아늑한 분위기를 자아낸다.,,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3e953e7c4949462196becd3a2ed0825c.jpeg?width=1000,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/songheonjip
묵정,한국,서울,3스타,2026,"중구 퇴계로48길 17, Seoul, 04619, KOR",+82 10-8350-6743,,한식,,,37.56181,127.00053,"한국계 미국인 셰프 오스틴 강이 운영하는 곳이다. 음식이 곧 약이라는 한식의 철학에 매료되어 ‘한국식 발효 음식’을 표방하며 발효 식품과 장을 직접 만들어 사용한다. 전통 한식을 제공하지만 비주얼은 캐주얼하고 현대적이다. 표고버섯 새우전은 밀가루 없이 버섯 위에 다진 새우살을 올린 후 직접 만든 멸치젓을 넣은 아이올리 소스와 함께 제공된다. 천천히 익히는 메인 음식인 닭고기는 식감이 부드럽고 로즈마리와 레몬, 오렌지를 넣어 깊은 향이 밴 찹쌀밥은 직접 만든 반찬과 잘 어우러진다. 메인 요리와 함께 나오는 각종 수제 장아찌와 김치는 풍부한 발효의 맛과 깊고 다채로운 풍미가 동시에 느껴진다. 메인 요리는 준비 시간 때문에 하루 전에 미리 선택해야 한다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d746f529d4bf47aab6c054bb20c9d87e.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung
소넷,한국,서울,3스타,2026,"강남구 선릉로 157길 33, 3층, Seoul, 06018, KOR",+82 2-6953-5999,,프렌치 컨템퍼러리,,,37.52628,127.03704,"프렌치 음식을 기반으로 한 캐주얼 다이닝을 선보이는 소넷. 커다란 바 테이블이 주방을 감싸고 있는 구조로 셰프들이 조리하는 모습을 직접 보면서 음식을 즐길 수 있다. 다양한 한입 거리 음식부터 분자 요리법을 적용한 디저트까지 갖가지 비주얼과 맛을 경험해 볼 수 있다. 닭 간 무스를 넣은 코코아 롤에 트러플과 라즈베리 잼을 함께 서빙하는 디시는 두 가지 맛과 풍미를 느낄 수 있고, 직접 만든 메밀 파스타와 신선한 조개, 캐비어를 넣은 파스타에서 깊고 진한 맛과 짙은 메밀 향을 느낄 수 있다. ‘소넷’은 프랑스어로 짧은 노래를 뜻하는데 작은 요리로 구성된 코스를 선보이는 이곳에 딱 맞는 이름이다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7801dcd17d7d4b84abfef258fa906cde.jpg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886
옥돌현옥,한국,서울,3스타,2026,"송파구 오금로 36길 26-1, Seoul, 05700, KOR",+82 2-404-4824,,냉면,,,37.50153,127.12408,오로지 메밀만을 사용해 씹을수록 메밀의 구수함이 느껴지는 순면에 고소하고 진한 육수와 풍부한 메밀향을 느낄 수 있는 옥돌현옥. 생긴 지는 그리 오래 되지 않았지만 평양냉면 마니아들 사이에서는 호평을 받는 곳이다. 두부가 많이 들어가 구수한 만두를 비롯해 어복쟁반과 가자미식해도 인기 메뉴이다. 콜키지를 지불하면 와인과 함께 즐길 수도 있다. 슴슴하지만 깊은 맛을 즐겨보시길.,,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d7066057313b4ebc82650dd10cd73dc6.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
레스토랑 알렌,한국,서울,2스타,2026,"강남구 테헤란로 231, 센터필드 East 2층 E205호, Seoul, 06142, KOR",+82 2-6985-7214,,컨템퍼러리,,,37.5036,127.0418,"알렌은 서현민 셰프의 이름을 건 레스토랑답게, 셰프가 쌓아온 감각과 노하우가 현대적이고 정교한 요리로 자연스럽게 드러나는 공간이다. 편안하면서도 우아한 다이닝룸과 신중히 고른 테이블웨어가 조화를 이루고, 유리창 너머로 보이는 질서 정연한 키친의 움직임이 식사의 즐거움을 더한다. 프렌치 터치를 가볍게 더한 컨템퍼러리 요리는 섬세한 맛의 결을 이루며, 지역 식재료를 중심으로 삼아 매 계절 새롭게 재구성된다. 메뉴 뒤편에 표기된 산지 지도는 코스 곳곳에 사용된 식재료의 출처와 제철성을 시각적으로 보여준다. 막걸리 효모를 반죽에 더해 만든 사워도우 브레드는 겉은 바삭하고 속은 탄력 있으며, 산미와 고소함이 어우러져 인상적인 풍미를 완성한다. 따뜻하면서도 전문적인 서비스 팀의 안정된 응대가 더해져 전체 경험이 더욱 매끄럽고 쾌적하게 이어진다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/36662594e2ec4ef5b76623fd61228ee7.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/restaurant-allen
권숙수,한국,서울,2스타,2026,"강남구 압구정로 80길 37, 4층, Seoul, 06016, KOR",+82 2-542-6268,,한식,,,37.52437,127.04355,"현대적 기법과 한국적 전통이 만나 매력적인 다이닝 경험을 선사하는 곳이다. 외식업에 뿌리를 둔 가정에서 성장한 셰프는 20여 년의 경력을 바탕으로 제철 식재료의 순수하고도 섬세한 맛을 고요하게 드러낸다. 식사는 정교하게 다듬은 한 입 크기의 요리와 한국 전통주 페어링으로 시작해, 전통 ‘독상’ 스타일로 구성된 메인 코스로 이어지며, 마지막에는 다양한 디저트를 담은 트롤리가 등장해 식사를 우아하게 마무리한다. 점심 시간에는 자연광이 미니멀한 공간을 따뜻하게 채워 비즈니스 미팅이나 조용한 모임에 더욱 잘 어울린다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9f989cdd50ea42fb8f3c7cbe31c79465.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kwonsooksoo
정식당,한국,서울,2스타,2026,"강남구 선릉로 158길 11, Seoul, 06014, KOR",+82 2-517-4654,,컨템퍼러리,,,37.525584,127.041069,"임정식 셰프는 서울과 뉴욕을 기반으로, 자신만의 감각적인 창의성으로 한국 요리를 세계 무대에 우아하게 선보인 선구적인 인물이다. 그는 김밥이나 비빔밥처럼 우리에게 익숙한 전통적 요소에서 영감을 받아, 본질은 지키되 감각적으로 재해석한 요리를 통해 진정한 '모던 코리안'의 방향을 제시한다. 전복, 오리 등 고급 식재료를 중심으로 구성된 코스는 정갈하고 세련된 반찬으로 화려하게 시작되며, 선택에 따라 다채로운 추가 요리도 경험할 수 있다. 와인 리스트는 폭넓고 깊이 있으나, 셰프가 제안하는 페어링 역시 섬세하고 조화롭다. 장인정신과 현대적 감각이 공존하는 식사 경험이 인상 깊게 다가온다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cd382536a68b4ffda192a5f9428283f1.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jungsik511965
에빗,한국,서울,2스타,2026,"강남구 도산대로 45길 10-5, Seoul, 06021, KOR",+82 70-4231-1022,,이노베이티브,,,37.52334,127.0362,"식재료를 야생에 나가 채집하고 메주를 손수 띄워 장을 담그는 조셉 리저우드 셰프의 레스토랑 에빗. 조셉 리저우드 셰프에게 뻔하고 식상한 재료는 존재하지 않는다. 시그니처인 메주 도넛은  튀긴 찹쌀 반죽 안에 크림과 멸치 달고나, 흑마늘을 넣어 감칠맛과 발효 풍미를 한껏 올렸으며, 직접 만드는 솔잎 오일, 꽃을 발효해 만드는 약주 등 에빗의 메뉴에는 셰프의 감각으로 재해석된 창의적 요리로 가득하다. 한국 식문화의 전통을 셰프의 독특하고 글로벌한 해석을 가미한 에빗의 요리는 구색을 잘 갖춘 와인과 함께할 때 한층 더 빛을 발한다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d66524a50c87458ebe9cd2b42d1b4e1d.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/evett
스와니예,한국,서울,2스타,2026,"강남구 강남대로 652, 신사스퀘어 2층 201호, Seoul, 06027, KOR",+82 2-3477-9386,,컨템퍼러리,,,37.51933,127.01903,"파인 다이닝 레스토랑 스와니예는 계절의 흐름과 재료의 숨결을 세심하게 살린 테이스팅 코스로 정평이 나 있다. 오너 셰프 이준은 한국적 감성과 현대적 기법을 조화시켜 감각적인 해석이 돋보이는 요리를 선보인다. 또한, 이야기가 있는 음식을 표방하는 그의 ‘에피소드’ 메뉴는 기승전결이 있는 한 편의 공연을 연상시킨다. 화이트 톤의 절제된 분위기와 주방 중심의 공간 배치, 세련된 플레이팅과 편안한 서비스까지, 이 모든 요소가 만족도 높은 다이닝 경험을 선사한다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/574dceba3f2a41119d554bd5ebf46e06.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soigne
알라 프리마,한국,서울,2스타,2026,"강남구 학동로 17길 13, Seoul, 06045, KOR",+82 2-511-2555,,이노베이티브,,,37.51346,127.02602,"재료 본연의 맛을 간직하고 있으면서도 적절히 사용된 허브와 채소가 발산하는 퀴진 아로마가 특히 매력적이다. 계절마다 접하는 동일한 식재료일지라도 맛과 식감을 흥미롭게 변주하는 까닭에 철마다 방문해 볼 가치가 있다. 요리는 독창적이지만 복잡하거나 이해하기 어렵지 않으며 조화로운 맛을 직관적으로 즐길 수 있는 코스 구성 역시 이곳만의 장점이다. 주방의 분주한 현장감이 느껴지는 와이드 카운터 좌석은 후회 없는 선택이 될 것이다. 차분하고 클래식한 분위기와 은은한 조명의 다이닝 공간까지, 안락한 식사를 위한 준비가 완벽히 갖춰져 있다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/05970e32488740bf9e6c9929485d6ff3.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/alla-prima
미토우,한국,서울,2스타,2026,"강남구 도산대로 70길 24, Seoul, 06064, KOR",+82 10-7286-9914,,일식,,,37.52206,127.04502,"미토우는 제철 식재료를 이용해 자신들만의 방식으로 일본 전통 요리를 표현하는 권영운, 김보미 셰프의 재능이 돋보이는 공간이다. 이들은 미토우의 요리에 계절감을 담기 위해 끊임없이 정진한다. 이런 노력은 품질 좋은 식재료를 고르는 데에서도 드러난다. 미토우의 요리에 쓰이는 닭과 달걀, 쌀과 채소는 모두 셰프의 가족이 운영하는 농장에서 공급받고 있다. 셰프들의 손을 거쳐 미토우의 식탁에 오르는 요리는 이런 정성 어린 노력의 결정체라 할 수 있다. 미토우의 요리에서는 셰프가 요리를 공부하며 얻었다는 수련자의 진중함과 겸손함, 정진하는 마음가짐이 고스란히 느껴진다. 계절이 바뀔 때마다 미토우의 식탁을 기대하는 하는 이유다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/445960fc5aeb44d58ad640649a04c701.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mitou
모수,한국,서울,2스타,2026,"서울시 용산구 회나무로 41길 4, Seoul, 04344, KOR",+82 2-6272-5678,,모던 요리,,,37.54115,126.99615,"모수에서 상상력과 정교함, 섬세함이 균형을 한결같은 셰프의 정체성이 담긴 요리를 맛보는 순간 그 완성도에 고개를 끄덕이게 된다. 예상 가능한 맛 위에서 확장되는 풍미와 식감의 터치는 기분 좋은 놀라움을 준다. 전복 타코, 참깨 두부, 우엉 타르트 등 시그니처 메뉴는 여전히 건재하고, 사워 도우는 미소를 짓게 하며 생선 요리 역시 구조감 있는 맛의 조합으로 만족을 더한다. 이렇듯 모수의 요리에는 미식의 즐거움을 더하는 요소들이 곳곳에 배치되어 있다. 2층 주택을 개조한 모수의 공간은 층마다 분위기가 다르다. 입구에 들어서면 직원이 다이닝 공간으로 안내를 하는데 오픈 키친이 있는 1층은 조리의 열정을 눈앞에서 느낄 수 있어 인기이고, 2층은 채광이 좋아 석양과 함께 로맨틱한 식사를 즐길 수 있다. 요리만큼이나 섬세한 서비스와 음식과 조화를 이루는 와인 페어링이 잊지 못할 다이닝 경험을 선사할 것이다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5168c29ab38c44f7897be008d2ae20bf.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mosu
